'a	ぁ
a	あ
'i	ぃ
i	い
yi	い
ye	いぇ
'u	ぅ
u	う
whu	う
wu	う
wha	うぁ
whi	うぃ
wi	うぃ
we	うぇ
whe	うぇ
who	うぉ
'e	ぇ
e	え
'o	ぉ
o	お
ka	か
ga	が
ki	き
gi	ぎ
kye	きぇ
gye	ぎぇ
kya	きゃ
gya	ぎゃ
kyu	きゅ
gyu	ぎゅ
kyo	きょ
gyo	ぎょ
ku	く
gu	ぐ
ke	け
ge	げ
ko	こ
go	ご
sa	さ
za	ざ
shi	し
si	し
ji	じ
zi	じ
she	しぇ
sye	しぇ
je	じぇ
zye	じぇ
sha	しゃ
sya	しゃ
ja	じゃ
zya	じゃ
shu	しゅ
syu	しゅ
ju	じゅ
zyu	じゅ
sho	しょ
syo	しょ
jo	じょ
zyo	じょ
su	す
zu	ず
se	せ
ze	ぜ
so	そ
zo	ぞ
ta	た
da	だ
chi	ち
ti	ち
di	ぢ
che	ちぇ
tye	ちぇ
cha	ちゃ
tya	ちゃ
chu	ちゅ
tyu	ちゅ
cho	ちょ
tyo	ちょ
'tu	っ
vv	っ
tu	つ
du	づ
te	て
de	で
to	と
do	ど
na	な
ni	に
nye	にぇ
nya	にゃ
nyu	にゅ
nyo	にょ
nu	ぬ
ne	ね
no	の
ha	は
ba	ば
pa	ぱ
hi	ひ
bi	び
pi	ぴ
hye	ひぇ
bye	びぇ
pye	ぴぇ
hya	ひゃ
bya	びゃ
pya	ぴゃ
hyu	ひゅ
byu	びゅ
pyu	ぴゅ
hyo	ひょ
byo	びょ
pyo	ぴょ
fu	ふ
hu	ふ
bu	ぶ
pu	ぷ
fa	ふぁ
fi	ふぃ
fe	ふぇ
fo	ふぉ
he	へ
be	べ
pe	ぺ
ho	ほ
bo	ぼ
po	ぽ
ma	ま
mi	み
mye	みぇ
mya	みゃ
myu	みゅ
myo	みょ
mu	む
me	め
mo	も
'ya	ゃ
ya	や
'yu	ゅ
yu	ゆ
'yo	ょ
yo	よ
ra	ら
ri	り
rye	りぇ
rya	りゃ
ryu	りゅ
ryo	りょ
ru	る
re	れ
ro	ろ
wa	わ
wo	を
n;	ん
nn	ん
-	ー
;	ー
ca	か
qi	き
kje	きぇ
gje	ぎぇ
kja	きゃ
qa	きゃ
gja	ぎゃ
kju	きゅ
qu	きゅ
gju	ぎゅ
kjo	きょ
qo	きょ
gjo	ぎょ
cu	く
qe	け
co	こ
xi	し
sje	しぇ
xe	しぇ
sja	しゃ
xa	しゃ
sju	しゅ
xu	しゅ
sjo	しょ
xo	しょ
ce	せ
ci	ち
tje	ちぇ
tja	ちゃ
tju	ちゅ
tjo	ちょ
thi	てぃ
dhi	でぃ
thu	てゅ
dhu	でゅ
tho	とぅ
dho	どぅ
nje	にぇ
nja	にゃ
nju	にゅ
njo	にょ
hje	ひぇ
bje	びぇ
pje	ぴぇ
hja	ひゃ
bja	びゃ
pja	ぴゃ
hju	ひゅ
bju	びゅ
pju	ぴゅ
hjo	ひょ
bjo	びょ
pjo	ぴょ
fju	ふゅ
mje	みぇ
mja	みゃ
mju	みゅ
mjo	みょ
li	り
rje	りぇ
la	りゃ
rja	りゃ
lu	りゅ
rju	りゅ
lo	りょ
rjo	りょ
le	れ
cc	っ	c
jj	っ	j
kk	っ	k
pp	っ	p
qq	っ	q
ss	っ	s
tt	っ	t
xx	っ	x
''a	ァ
''i	ィ
''u	ゥ
v'u	ヴ
n'u	う゚
n''u	ウ゚
v'a	ヴぁ
v'i	ヴぃ
v'e	ヴぇ
v'o	ヴぉ
''e	ェ
''o	ォ
'ka	ゕ
''ka	ヵ
n'ga	か゚
n''ga	カ゚
n'gi	き゚
n''gi	キ゚
k'yi	きぃ
g'yi	ぎぃ
''ku	ㇰ
n'gu	く゚
n''gu	ク゚
k'a	くぁ
